TransactionID,UserID,Amount,Timestamp,MerchantCategory,TransactionType,DeviceID,IPAddress,Latitude,Longitude,AvgTransactionAmount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,FraudFlag,PhoneNumber,BankName
842835309389,b0b99baa-1fd2-41e5-ac94-37aa0ec862f9,8589.0,2024-01-22 03:59:58,Electronics,P2M,42296fa1-8d7a-478c-a8c9-590b9d14cdb9,75.122.84.213,23.3544775,-40.536076,670.31,5/day,False,True,False,2,True,2798604680,Bank of Baroda
592863054785,0cc467c5-8b71-4ba4-9c75-4a9e2bec2c8c,9090.54,2024-07-01 13:43:33,Electronics,P2M,e566b8a8-17c3-4372-9e07-e4c4eb3113b7,16.110.81.53,-62.956912,-102.511919,7265.96,3/day,False,True,False,2,False,3614149152,ICICI Bank
373481869464,f7de03ee-b7f5-4568-8ba2-e889bced4d88,8814.41,2024-04-02 05:23:39,Electronics,P2P,897d0824-bc4f-4ee7-9bfb-c8eea31b2ca2,6.47.215.37,-13.112830,-18.978059,8750.89,3/day,True,False,True,3,False,+912661191911,ICICI Bank
285572156436,456b3f39-e9cc-429f-8568-125612c12987,3971.25,2024-06-14 16:13:43,Restaurants,P2P,a4d2f5ef-19c7-4baa-b3ea-b04069d65021,214.166.195.254,-23.898771,81.760634,8348.14,1/day,True,True,False,4,False,+916358088125,State Bank of India
874207772966,7b4b734d-f0c5-4dce-8b9c-0b2e226abc86,4376.74,2024-07-16 03:22:40,Groceries,P2M,8aee664a-fb51-4e74-98a1-cf632a02cd27,151.99.121.13,11.3839985,12.669192,1719.74,1/day,True,True,False,0,False,5132838721,ICICI Bank
213969747071,bea32ff5-e357-4d93-adb2-acb9a2f409c6,8425.76,2024-03-07 14:02:16,Electronics,P2P,176f13ac-2b44-4a71-afd6-c92a66afc5b4,150.18.5.237,-31.5385085,-90.149026,3549.25,1/day,False,True,True,2,False,5514309159,ICICI Bank
285614658293,baf1eb6c-f1f3-475d-a034-153aee922877,9315.06,2024-05-08 11:03:36,Clothing,P2M,8396d949-34a8-49d9-b4c9-0669db553b16,139.122.29.225,35.313228,-154.906960,7012.32,1/day,True,True,True,0,False,07715876422,State Bank of India
485980480692,d0fe4bc4-2c2c-47c1-aaee-79b7aeea7320,1256.88,2024-02-11 12:57:54,Entertainment,P2P,68fbaf33-101e-43a0-bba4-5b4892d78766,126.254.92.81,-0.372528,82.502194,5449.29,5/day,False,True,True,3,False,+913599618877,Axis Bank
215752317622,ab937648-1fdd-4c36-9f65-33cbd35fd2be,9026.54,2024-05-09 19:49:56,Groceries,P2P,ffde9c51-fbeb-4aef-9fa9-76cd14da9c99,37.143.172.227,88.823638,-130.843160,103.52,1/day,True,True,False,0,True,00800128996,Axis Bank
546464892910,e909fbc4-09fc-4a52-9fd3-0265b65afa30,336.9,2024-02-24 18:49:37,Restaurants,P2M,5e20569e-7b61-4e1e-833c-81c96f1b7c16,95.88.228.104,74.797699,69.024996,2841.42,1/day,False,False,True,4,False,09931281006,ICICI Bank
322535968350,f76d5493-34c1-4205-a106-928fd9b054c6,9789.61,2024-07-08 21:32:01,Entertainment,P2M,31f24c66-1262-41bb-b104-67e398c15d87,182.28.17.195,12.0904405,97.225328,8585.66,5/day,False,True,True,3,False,01139033019,Kotak Mahindra Bank
881793080712,58aaef72-eb4d-4590-8595-dad3d555c1c9,246.37,2024-07-08 15:07:43,Entertainment,P2P,507a8b6d-f717-4956-8e82-37a98efa1e25,136.233.227.228,-60.2614515,-164.705334,8174.85,1/day,False,True,False,3,False,01106143962,Axis Bank
313793292686,2ec6e142-615c-4f54-995f-fc03661f94ed,1077.17,2024-04-30 09:43:02,Utilities,P2M,a2fbb4c5-4c7c-4529-9756-8156006b1b73,39.230.220.111,46.3002825,-151.270425,8450.88,3/day,False,True,True,4,True,0411019719,Axis Bank
335375750519,9e1273ac-9466-43ef-a3ee-a21a90d3a81c,2552.08,2024-01-01 10:44:35,Utilities,P2M,fe428982-2698-485a-855a-059a5b41763b,217.146.161.102,66.1544005,91.568951,9501.7,5/day,True,False,True,1,False,+919388275087,Kotak Mahindra Bank
865752824844,882aad60-aa9e-4333-9bfb-4784d8637a78,6829.7,2024-03-15 01:00:25,Utilities,P2P,c913c6f4-9a24-4a13-968d-9affffdfc8b5,139.183.158.83,13.886899,177.225875,1593.27,3/day,False,False,True,1,False,8267569943,ICICI Bank
298843177819,d1ec01c7-c96f-402e-bd8b-f0151bd979e5,5567.85,2024-07-24 05:10:33,Clothing,P2M,ce94c789-a329-4a5a-bc5b-f533221d4b2c,119.74.198.220,-27.262066,-119.773462,2537.31,3/day,False,True,True,4,False,7859783339,Bank of Baroda
616665746189,325b255d-0b4f-4b88-b8cf-2ad03f0289a7,6714.91,2024-01-18 05:06:00,Travel,P2M,fa9cf65b-2d81-4e09-af5b-122297fd6c90,166.62.218.159,58.432388,-28.533927,5247.31,1/day,True,True,True,1,False,5378812911,Kotak Mahindra Bank
296148437922,39d822d5-924e-4e9f-b006-0877296e34a0,9110.75,2024-03-20 10:25:56,Clothing,P2M,69c718d7-f782-44f5-8428-22d3e9e03b51,118.223.250.194,33.7433525,123.138586,4644.74,1/day,True,False,False,4,False,03903725502,Kotak Mahindra Bank
703412231022,aad2900f-f754-4077-a77f-c91f321a060c,6366.93,2024-07-14 04:43:58,Electronics,P2M,223a7b41-499f-4fde-847a-9823ca1b866f,213.0.153.229,65.286917,144.580319,9176.72,5/day,True,True,True,2,False,00801253446,Bank of Baroda
689953066869,2bcf35b0-90d7-4eba-968b-b0a3161e2120,8318.91,2024-05-04 06:00:50,Clothing,P2M,fb8ca6ad-54cb-493e-af85-5d9e5fa0d775,177.105.26.61,-74.5795065,-77.308053,3973.17,3/day,False,True,False,1,False,+913442352993,HDFC Bank
796548733232,91e537e0-8413-4509-8598-19e6af98cce4,5074.9,2024-04-13 17:46:53,Travel,P2M,783828ea-1cb1-435d-a09b-68b961a7c445,55.24.182.146,-85.6998175,8.654450,9760.85,5/day,True,True,True,0,False,8500421215,ICICI Bank
506937834460,f3fb33d4-ff8f-4039-992d-fffcfc2a52ad,9268.33,2024-03-20 04:44:57,Clothing,P2P,5608a51d-3cc7-491c-bd62-0a0e1b8d31b7,159.4.134.9,85.123754,-27.253658,535.73,3/day,False,True,False,4,False,02359243254,ICICI Bank
856414297152,1bd543c0-1421-45c5-a08a-adc1e086c232,978.91,2024-06-23 11:47:47,Restaurants,P2P,0ab8ab59-00df-4907-b78b-9d4e79f44f75,71.173.208.85,-70.900291,150.350118,2520.22,5/day,True,False,False,1,False,0382505979,Kotak Mahindra Bank
